ID,简称
8095,27502-15
7322,27502-17
6435,27524-81
3536,27609-79
7004,27635-72
7099,27637-71
6762,27735-84
13168,28130-53
13179,28173-1
13986,28177-1
13180,28181-58
13990,28298-62
6257,28554-13
6876,28575-11
6938,28578-12
6890,28579-10
6854,28580-14
7134,28612-105
7615,28651-109
13323,28654-108
7629,28654-108
8070,28655-107
12976,28655-107
7756,28681-1
7967,28706-117
7484,28711-113
6311,28716-101
6069,28718-1
1796,28726-1
6130,28730-102
6339,28753-116
6708,28792-112
6817,28797-103
7008,28798-114
7193,28800-111
7101,28810-106
7440,36315-74
7486,36359-2
13201,36416-2
7457,36417-67
7435,36422-72
6944,36473-69
6602,36474-75
13519,36936-127
1772,37009-102
13169,37012-101
5940,37012-11
1770,37014-92
6446,37030-99
14004,37035-95
7638,37044-1
13206,37138-96
13998,37138-96
13219,37168-94
7098,37172-98
7021,37174-1
6724,37177-91
6194,3721-15
6806,372-93
6843,38573-154
13366,38573-154
7458,38574-162
5786,38575-164
7606,38646-147
7332,38665-2
13332,38665-2
1729,38708-149
13302,38802-146
6152,38803-144
13213,38834-145
13525,38900-151
7461,38931-1
6881,3898-108
6921,3898-112
7408,39010-107
6569,39013-104
3255,39014-122
3772,39015-123
6837,39072-108
13079,39076-1
6521,39132-3
1700,39151-1
1679,39152-105
1582,39160-2
6750,39216-103
6967,39235-102
6730,39245-124
7016,39246-106
6624,39253-104
6903,39260-1
6715,3927-2
7053,39276-100
6746,39276-111
13037,39300-2
5962,39303-119
7587,39332-121
12990,39335-116
7556,39338-110
4550,39680-528
12960,39688-4
12947,39688-544
4871,39699-12
12944,39699-2
4008,39701-18
12946,39702-3
3159,39712-8
1953,39717-11
7491,40166-1
14036,40170-1
13046,40171-2
4400,40171-61
13334,40172-1
13679,41030-1
3815,41036-76
3811,41039-83
13643,41040-72
13158,41050-1
7466,41050-94
7641,41053-1
4030,41059-102
7558,41063-95
6527,41075-97
6217,41126-89
6664,41140-96
7541,41152-88
3836,41170-91
1619,41187-46
7106,41236-48
6972,41322-41
6575,41324-38
6626,41327-47
1967,41493-40
7887,41504-45
7916,41505-47
13250,41506-38
1870,41528-30
13006,41529-1
8375,41531-28
7934,41532-2
3571,41535-31
12969,41539-2
5403,41558-2
5637,4164-576
5321,42104-1
13367,42113-3
5856,42120-45
12982,42135-1
12966,42138-2
3717,42145-1
3719,42146-3
3727,42148-28
5494,42152-28
13018,42159-1
2728,42161-11
13002,42163-16
1553,42165-5
1559,42170-1
5835,42172-3
5823,42173-2
5664,42175-4
6004,42179-30
5996,42181-1
1661,42187-5
1640,42189-3
1606,42195-1
1590,42196-2
5349,42198-1
5650,42202-1
7761,43225-70
2499,43225-70
6449,43226-123
6235,43226-124
7114,43228-115
7995,43365-66
6434,43390-2
13320,43390-2
8124,43431-1
6253,43456-125
13818,43470-98
6756,43569-114
12980,43626-2
13684,43723-1
6007,43749-94
13011,43828-116
5667,44902-52
1645,44907-1
7804,45014-61
5380,48131-575
4338,48132-596
12972,48133-586
1930,48134-5
12936,48185-9
5452,48191-1
13042,48204-538
4775,48204-565
4738,48204-585
13331,48204-591
4468,48205-582
5398,48242-535
4685,48276-2
4333,48284-1
5016,48300-1
13291,48322-1
13508,49314-196
6320,49315-200
6243,49315-209
6061,49315-225
6248,49315-233
13299,49316-206
7579,49319-162
13834,49324-226
6227,49324-226
7492,49325-212
13224,49326-228
7118,49327-221
6738,49331-160
12968,49343-163
6528,49345-202
6578,49347-198
6115,49357-231
6703,49377-183
6835,49377-219
13350,49398-1
6126,49398-1
13167,49399-192
6127,49399-192
13793,49402-229
6207,49402-229
6162,49406-185
13193,49410-230
6240,49410-230
13494,49411-166
5936,49411-166
13001,49415-227
6245,49415-227
6225,49416-201
6494,49424-234
6989,49425-224
8003,49441-216
13015,49476-218
5953,49476-218
8007,49489-207
7324,49491-188
8145,49497-1
6792,49509-208
6529,49527-204
6778,49531-235
6466,49532-154
6807,49540-197
6864,49541-184
7607,49550-195
7592,49552-187
8105,49558-181
7460,49560-222
7988,49569-194
7310,49571-182
7753,4961-65
4377,50953-536
4452,50953-550
5038,50954-566
4484,50983-525
4230,50991-540
13520,51215-159
6925,51667-193
3202,51680-1
7617,51689-92
13809,51692-1
13252,51697-2
3846,51698-3
3845,51698-70
3866,51704-6
1713,51705-36
13651,52433-101
7259,52436-104
13515,52487-542
13498,52489-4
13486,52489-8
13022,52492-10
3999,52492-11
13003,52493-16
4264,52493-554
4533,52494-548
12989,52495-3
4308,52495-553
13076,52495-6
8179,52499-43
13083,52503-28
7697,52505-40
8189,52506-80
13241,52506-80
4527,52607-70
5205,53208-98
7024,53798-220
5460,5571-63
2374,5581-64
5298,57311-66
5284,5938-9
5708,5939-7
5873,6591-46
5694,6984-70
5729,6993-71
4659,7051-111
4158,7128-1
4653,7136-1
4553,7176-1
4594,7181-1
4815,7195-99
4823,7198-102
4899,7201-106
5067,7209-100
5053,7230-1
4867,7237-94
4123,7247-92
4532,7248-1
4236,7254-110
8055,7706-3
6949,7768-60
13326,7772-1
7635,7773-62
1765,7790-86
7636,7806-85
13791,7873-1
4831,7901-71
13032,7934-2
5078,7988-1
4938,7990-66
6290,8056-2
12991,8076-59
8358,8568-20
7888,8659-34
8338,8701-38
8303,8720-28
7894,8723-36
13278,8772-35
8211,8773-41
2789,8784-44
8258,8891-51
8362,8907-1
8176,8922-53
8306,8957-54
8156,8999-63
8325,9016-62
8164,9038-48
7663,9062-41
8331,9087-57
8297,9091-59
1839,9358-29
7932,9382-26
8178,9620-55
7734,9622-51
8200,9697-48
7686,9711-53
7743,9739-52
13300,9765-541
3935,9797-531
4424,9806-546
5074,9839-1
5056,9841-518
4992,9853-520
5186,9959-1
8222,14252
8216,8704-39
8188,8726-33
8175,8658-1
8160,8670-35
8324,8686
7944,8727-37
7927,8554
7918,8553-30
7891,20842
7696,23772
7675,8555
7747,8731
7722,8687
8039,13573
7832,06592
7850,3904-67
6609,28274
6901,28293-54
6865,28283
7333,01724
7456,13565
6886,28227-61
6853,06832
6943,07003
7424,52625
7773,28138-60
7777,52623-68
5942,28185
6424,28180-55
7782,52630-65
8102,28136-69
8146,12472
6757,28291
6414,00912
6936,09112
6922,2044-64
6580,11472
6190,28210-56
6779,12082
6547,2045-66
7965,28132-59
6567,28282-70
6798,28223
7954,10852
6552,06653
6167,07302
6512,28272
6479,00842
8121,52632
6589,28229
6468,28271-63
7817,28133-57
6390,15422
7989,52633-52
7955,52627
6809,28280-1
6597,28225
6544,13406
7928,9045
13980,41282
13956,47580
13984,61263
13958,33412
7808,60872
13979,60893
13959,55895
13968,78583
14040,46632
13969,49556
13981,64754
13978,29083
13964,59463
13970,32313
13973,51173
14038,26735
13965,07123
6548,30812
13977,52953
13954,53920
13941,42802
13971,30313
13966,43562
3276,908770
13967,41312
13957,64694
14030,49424
13936,60002
14037,60493
14035,52769
14032,32062
14031,49495
4837,17892
4233,7132-1
4289,7173
4292,7255
4274,2037-108
4385,7129-96
6404,06403
3181,65882
5044,24116
4816,2020-72
4948,07853
4502,52608
14001,2000
14000,2003
8356,12424
7448,51684-3
3883,51685-2
6371,52438-97
7426,34972
6178,43793-1
8141,02672
7439,51684-1
7978,41922
7303,42205
6221,43227-118
7493,43227-126
7335,52912
3374,60812
6581,02264
6166,43788
3517,58073
7799,43478
6595,43683
6545,43689-108
6462,09212
6776,2029
6950,28183
6294,43790
6410,23922
6188,47862
13938,43554-3
8120,43474-122
6691,43687-103
6673,20383
7604,43482-121
6978,43684
14026,61682
4637,21493
8282,21785
8197,9627-50
7741,9647
8248,9686
8334,9696-54
7737,05602
13163,41520-43
8361,2197-56
4220,07132
3368,57802
6183,49354
4818,7214-97
7459,2089-3
7441,06583
4846,7898
4431,8079-1
7378,52433-109
7369,39228
7355,39334
7419,17812
7214,39283-114
7094,20323
7163,39298
7814,10972
7475,06442
5978,38818
6238,38836-163
6350,38834-145
5702,38711
7356,43230-110
7232,51685
3675,51685-2
6574,36936
3676,34432
6388,36936-127
6373,43555
3110,59922
1750,43226-124
5879,00993
5893,02923
5727,43722
5677,43734
5775,43723-1
1639,43725
1633,43735-102
1612,43726
1709,43627-93
5773,19683
5829,43632
5814,43643
2169,86421
5899,41192-39
8148,7723-64
6628,7742-57
6615,7738-1
7800,17553
8129,4961-58
7764,4961-63
8119,7709
7306,01616
7328,7774
6406,8110
7990,7721
7969,20054
6794,12132
6161,8117-61
6288,08742
6799,7749
3149,67303
6179,02172
6177,03032
6262,7771-55
1739,8112
6759,7743
6231,19975
6246,13732
6343,8111
6322,8111-1
6577,7740
7952,06173
8057,17445
6307,8118-56
4538,51202
2717,99621
4128,29333
4145,03752
7288,2952
7093,3935
7534,21217-6
7507,12262-1
7192,16782
7182,13564
7284,10544
7275,01923
7266,11908-1
7138,06212
4257,09875
4147,42723
3228,32953
4630,30473
3609,51552
2002,74401
5153,3524-555
5156,52773
3182,67283
3461,68822
4903,33562
4586,32822
4781,53967
2064,56192
3081,58432
3250,70412
2786,75261
4467,48167
4620,48174
5101,132-578
4679,10317
4780,9979
4495,50995-580
4391,128-559
4599,51023
3899,10356
4559,13525-1
4978,53556
4654,48169
4688,51025
5192,13532
4243,113-577
4149,39688-545
4247,10321-532
4655,140-573
4105,133-589
5065,48214
4708,29673
